Rank,Probability,Label,SOC_code,Occupation,,,,,,
1,0.0028,,29-1125,Recreational Therapists,,,,,,
2,0.003,,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",,,,,,
3,0.003,,11-9161,Emergency Management Directors,,,,,,"either ‘0’ (not computerisable) or ‘1’ (computerisable),"
4,0.0031,,21-1023,Mental Health and Substance Abuse Social Workers,,,,,,
5,0.0033,,29-1181,Audiologists,,,,,,
6,0.0035,,29-1122,Occupational Therapists,,,,,,
7,0.0035,,29-2091,Orthotists and Prosthetists,,,,,,
8,0.0035,,21-1022,Healthcare Social Workers,,,,,,
9,0.0036,,29-1022,Oral and Maxillofacial Surgeons,,,,,,
10,0.0036,,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,,,,,,
11,0.0039,,29-1031,Dietitians and Nutritionists,,,,,,
12,0.0039,,11-9081,Lodging Managers,,,,,,
13,0.004,,27-2032,Choreographers,,,,,,
14,0.0041,,41-9031,Sales Engineers,,,,,,
15,0.0042,0,29-1060,Physicians and Surgeons,,,,,,
16,0.0042,,25-9031,Instructional Coordinators,,,,,,
17,0.0043,,19-3039,"Psychologists, All Other",,,,,,
18,0.0044,,33-1012,First-Line Supervisors of Police and Detectives,,,,,,
19,0.0044,0,29-1021,"Dentists, General",,,,,,
20,0.0044,,25-2021,"Elementary School Teachers, Except Special Education",,,,,,
21,0.0045,,19-1042,"Medical Scientists, Except Epidemiologists",,,,,,
22,0.0046,,11-9032,"Education Administrators, Elementary and Secondary School",,,,,,
23,0.0046,,29-1081,Podiatrists,,,,,,
24,0.0047,,19-3031,"Clinical, Counseling, and School Psychologists",,,,,,
25,0.0048,,21-1014,Mental Health Counselors,,,,,,
26,0.0049,,51-6092,Fabric and Apparel Patternmakers,,,,,,
27,0.0055,,27-1027,Set and Exhibit Designers,,,,,,
28,0.0055,,11-3121,Human Resources Managers,,,,,,
29,0.0061,,39-9032,Recreation Workers,,,,,,
30,0.0063,,11-3131,Training and Development Managers,,,,,,
31,0.0064,,29-1127,Speech-Language Pathologists,,,,,,
32,0.0065,,15-1121,Computer Systems Analysts,,,,,,
33,0.0067,0,11-9151,Social and Community Service Managers,,,,,,
34,0.0068,,25-4012,Curators,,,,,,
35,0.0071,,29-9091,Athletic Trainers,,,,,,
36,0.0073,,11-9111,Medical and Health Services Managers,,,,,,
37,0.0074,0,25-2011,"Preschool Teachers, Except Special Education",,,,,,
38,0.0075,,25-9021,Farm and Home Management Advisors,,,,,,
39,0.0077,,19-3091,Anthropologists and Archeologists,,,,,,
