Level,ANZSIC 06 Code,    Industry ,Employment level - November 2020 ('000),National Skills Commission Projections,,
,,,,Projected employment level - November 2025 ('000),Projected employment growth - five years to November 2025,
,,,,,('000),(%)
1,A,"Agriculture, Forestry and Fishing",345.1,349.2,4.1,1.2
2,01,Agriculture,309.0,315.8,6.8,2.2
3,010,"Agriculture, nfd",30.5,30.9,0.4,1.2
3,011,Nursery and Floriculture Production,9.3,8.6,-0.7,-7.6
3,012,Mushroom and Vegetable Growing,21.0,21.2,0.2,1.2
3,013,Fruit and Tree Nut Growing,45.5,46.3,0.7,1.6
3,014,"Sheep, Beef Cattle and Grain Farming",159.8,168.0,8.2,5.1
3,015,Other Crop Growing,7.2,7.4,0.2,2.8
3,016,Dairy Cattle Farming,17.8,16.1,-1.7,-9.4
3,017,Poultry Farming,8.2,7.0,-1.2,-14.6
3,018,Deer Farming,0.1,0.1,0.0,-5.1
3,019,Other Livestock Farming,12.5,13.1,0.6,4.9
2,02,Aquaculture,4.9,4.4,-0.5,-10.1
3,020,Aquaculture,4.9,4.4,-0.5,-10.1
2,03,Forestry and Logging,3.6,3.5,0.0,-1.2
3,030,Forestry and Logging,3.6,3.5,0.0,-1.2
2,04,"Fishing, Hunting and Trapping",8.6,8.6,0.0,0.2
3,040,"Fishing, Hunting and Trapping, nfd",0.6,0.6,0.0,1.2
3,041,Fishing,7.3,7.3,0.0,0.2
3,042,Hunting and Trapping,0.5,0.5,0.0,-0.3
2,05,"Agriculture, Forestry and Fishing Support Services",21.9,19.7,-2.2,-10.1
3,050,"Agriculture, Forestry and Fishing Support Services, nfd",0.1,0.1,0.0,-4.4
3,051,Forestry Support Services,5.9,5.9,0.0,0.0
3,052,Agriculture and Fishing Support Services,16.6,14.4,-2.2,-13.3
2,A0,"Agriculture, Forestry and Fishing, nfd",0.1,0.1,0.0,0.0
3,A00,"Agriculture, Forestry and Fishing, nfd",0.1,0.1,0.0,0.0
1,B,Mining,261.9,283.6,21.7,8.3
2,06,Coal Mining,62.8,67.5,4.7,7.5
3,060,Coal Mining,62.8,67.5,4.7,7.5
2,07,Oil and Gas Extraction,28.7,31.3,2.7,9.3
3,070,Oil and Gas Extraction,28.7,31.3,2.7,9.3
2,08,Metal Ore Mining,100.0,110.6,10.6,10.6
3,080,Metal Ore Mining,100.0,110.6,10.6,10.6
2,09,Non-Metallic Mineral Mining and Quarrying,11.1,11.4,0.3,3.1
3,090,"Non-Metallic Mineral Mining and Quarrying, nfd",1.8,1.8,0.0,0.0
3,091,Construction Material Mining,5.2,5.4,0.3,5.1
3,099,Other Non-Metallic Mineral Mining and Quarrying,4.2,4.2,0.1,1.9
2,10,Exploration and Other Mining Support Services,53.6,57.0,3.4,6.3
3,100,"Exploration and Other Mining Support Services, nfd",0.8,0.8,0.0,0.0
3,101,Exploration,14.8,15.0,0.3,1.8
3,109,Other Mining Support Services,38.5,41.6,3.1,8.1
2,B0,"Mining, nfd",0.4,0.4,0.0,0.0
3,B00,"Mining, nfd",0.4,0.4,0.0,0.0
1,C,Manufacturing,848.1,842.2,-5.9,-0.7
2,11,Food Product Manufacturing,192.1,188.6,-3.4,-1.8
3,110,"Food Product Manufacturing, nfd",17.0,15.4,-1.6,-9.3
3,111,Meat and Meat Product Manufacturing,57.2,58.0,0.8,1.4
3,112,Seafood Processing,1.2,1.2,0.0,-3.5
3,113,Dairy Product Manufacturing,18.0,17.0,-1.0,-5.3
3,114,Fruit and Vegetable Processing,6.7,6.4,-0.3,-4.6
3,115,Oil and Fat Manufacturing,1.3,1.3,0.0,0.0
3,116,Grain Mill and Cereal Product Manufacturing,5.0,4.5,-0.5,-9.3
3,117,Bakery Product Manufacturing,57.3,55.8,-1.5,-2.6
3,118,Sugar and Confectionery Manufacturing,10.5,10.6,0.1,0.7
3,119,Other Food Product Manufacturing,16.7,17.3,0.6,3.4
2,12,Beverage and Tobacco Product Manufacturing,30.8,32.7,1.9,6.1
3,120,"Beverage and Tobacco Product Manufacturing, nfd",0.2,0.2,0.0,5.9
3,121,Beverage Manufacturing,30.6,32.5,1.9,6.1
3,122,Cigarette and Tobacco Product Manufacturing,0.1,0.1,0.0,0.0
